idx;anyy;RendaLlar;TxAturJoves
0;2024;21,5;22,1
1;2023;26,8;22,4
2;2022;22,7;24,4
3;2021;27,9;28,9
4;2020;27,4;34
5;2019;24,1;26,2
6;2018;24,9;27,7
7;2017;29,7;30,4
8;2016;25,1;34,3
9;2015;21,7;42,3
10;2014;21,6;47,1
11;2013;21,2;50,2
12;2012;0;50,4
13;2011;0;43,8
14;2010;0;39,1
